"Id","PID","Name","Acronym","Description","URL","Location","Country","Latitude","Longitude","Head of biobank","Contact","Juridical person","Networks","Also known in","Collections","Capabilities provided","Quality","Collaboration commercial","Collaboration non for profit","National node","Withdrawn"
"bbmri-eric:ID:IT_1382433386427702","21.12110/1.96D7-8220-244B","Chirurgia Generale 3 Tumour Tissue Biobank","TTB","The biobank of the Chirurgia Generale 3 - University Hospital of Padua was born in 1991. The biobank daily manages and stores neoplastic biological samples according to protocols authorized by the Local Ethics Committee, following national and international guidelines. This biobank, due to a large number of samples and related clinical data, represents one of the most important oncology biobank organizations in the regional territory. Currently, the biobank, operating with trained staff, retains more than 150,000 units of biological material (whole blood, serum, neoplastic and normal tissue, DNA and RNA) of approximately 25,000 patients with various types of cancers (colorectal, breast, stomach, liver, lung, pancreas, melanoma, and sarcoma) in cryo-container and refrigerators, in dedicated and remote-alarmed areas.",,"Padova","Italy","37.0755392","15.1798698","puc@unipd.it","clara.benna@unipd.it","Chirurgia Generale 3","BBMRI.it Network",,"Breast Cancer,Colorectal cancer,Endocrinology,Gastric Cancer,Soft Tissue Sarcoma,Skin Cancer","Biological material storage,Data Storage",,"false","false","Italy","false"
"bbmri-eric:ID:IT_1382539370263740","21.12110/1.4CAC-68CC-54C2","Neuromed Biobanking Center","NBC","The Neuromed Biobanking Center, a population biobank, was born from the collection of samples and information deriving from the Moli-sani project. The IT infrastructure for the management and storage of the samples, the laboratory for the handling and storage of the same and the biobank, are located on the campus of the Neuromed Foundation which recognizes and supports the biobank itself as a structure of the Neuromed group.","http://www.neuromed.it/biobanking-centre/","Pozzilli","Italy","41.5048927","14.089646","mbdonati@moli-sani.org","mbdonati@moli-sani.org","IRCCS Istituto Neurologico Mediterraneo Neuromed","BBMRI.it Network",,"Moli-sani project,Neuromed COVID-19,Telethon project,PLATONE Project,IPSYS,IMMIDIET,Athena,moli-sani follow-up,PReFace,MEDPAD,medicea","BSL-2 laboratories available,Ability to set up prospective collections,Ability to set up clinical trials",,"false","true","Italy","false"
"bbmri-eric:ID:IT_1382601095921860","21.12110/1.B892-3350-ED28","IZSLER Biobanking of Veterinary Resources","BVR","The Biobank of Veterinary Resources (BVR), located at the Istituto Zooprofilattico Sperimentale della Lombardia e dell’Emilia Romagna (IZSLER), has the mission to collect biological resources mainly resulting from routinely diagnostic procedures and research. The collected resources, stored after being submitted to careful identity and purity controls, are available to public and private institutions.. . The collection consists of several types of biological samples such as cell culture, pathogens (viruses, bacteria, parassites), histological material and microorganism genomic sequences, etc.. . Biological resources from third parties can be stored at BVR facilities as safe deposit, open deposit and patent deposit according to Budapest treaty.. . The Biobank is certified according to ISO 9001:2015 and UNI CEI EN ISO/IEC 17025.. . Furthermore, BVR has been recognized as an Office Internationale Epizooties (OIE) Collaborating Centre.","http://www.ibvr.org/","Brescia","Italy","45.5231614","10.2228136","mariabeatrice.boniotti@izsler.it","substr@izsler.it","IZSLER","BBMRI.it Network",,"Biobank of Veterinary Resources","Biological material storage,Cell culture","null,null","true","true","Italy","false"
"bbmri-eric:ID:IT_1382686156197551","21.12110/1.A35A-951A-F218","Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","CRB-HSM","Born in 2008 (CRB-IST), the Biological Resource Centre of the IRCCS Ospedale Policlinico San Martino includes three collections of biological material:
- Genoa Tissue Bank (GTB)
- Biobanca Neurologica (BioNeuro)
- Banca cellule (ICLC) 
The collections store and distribute frozen tissues, FFPE tissues, blood derivatives, cells and cell lines, biological fluids, nucleic acids and related data.","http://www.ospedalesanmartino.it","Genova","Italy","44.4073624","8.9693021","barbara.parodi@hsanmartino.it","barbara.parodi@hsanmartino.it","General Director IRCCS Ospedale Policlinico San Martino","BBMRI.it Network,COVID_19",,"Biobanca  Neurologica,Banca cellule ICLC,Biobanca di Tessuto Liquidi Biologici e DNA,Biobanca COVID","Biological material storage,Cell culture,Data analytics,Data Storage,Nucleic acid extraction,Ability to recontact,BSL-2 laboratories available,BSL-3 laboratories available,Ability to set up prospective collections,Proteomics studies including protein engineering and protein interactions,Animal Testing Facility,Ability to set up clinical trials,Access to the full pathology archive","null","true","true","Italy","false"
"bbmri-eric:ID:IT_1382783556249610","21.12110/1.E2F4-72AE-6F71","Banca Biologica Oncologica Pediatrica","BBOP","The laboratory of pediatric oncohematology is the national reference for the diagnosis of acute pediatric, lymphomas, solid tumors and brain tumors. IN additon to the routine analyses, for retrospective studies and future clinical and/or research puroposes the biological biobank is maintained. Cryopreservation of an average of 10000 vials is carried out annualy and are subsequently added to the bank. Moreover are stored dna rna proteins and cell lines. The biological bank is a centralized integrated framework for the collection and filling of biological samples related to clinical studies and clinical analysis in research projects. Biobank’s activities are: storing specimens harvested over time, combined with molecular, cellular and genetic data. Moreover, collected samples are processed primarily analyzed and adeguately preseved for sharing with the wider scientific comunity. 
An efficient IT system is a crucial matter and has been implemented to serve database in real time.",,"Padova","Italy",,,,"andrea.zangrando@unipd.it","Dip. Salute della Donna e del Bambino","BBMRI.it Network",,"B.B.O.P.","Biological material storage,Data analytics,Data Storage,Nucleic acid extraction",,"false","false","Italy","false"
"bbmri-eric:ID:IT_1382965524316631","21.12110/1.47B8-CAC4-05B7","Biobanca del Laboratorio di Genetica Umana","IGG-GB","The biobank started its activity in 1983 as a unit of the Laboratory of Human Genetics of Galliera Hospital in Genoa In January 2019 the Biobank moved to Istituto G. Gaslini and it was renamed “Biobank of the Laboratory of Human Genetics”. Since May 2020 it has been merged with the Biobank of cell lines and DNA from patients affected by genetic diseases established at Gaslini hospital in 1976. Presently, the unified biobank stores more than 20,000 biospecimens and associated data from about 300 genetic disorders. Since 2008 it has been partner of the Telethon Network of Genetic Biobanks and in 2010 it was officially authorized by the Liguria Region.","http://biobanknetwork.telethon.it/","Genova","Italy","44.3910699","8.9893807",,"domenicocoviello@gaslini.org","General Director - IRCCS Istituto Giannina Gaslini","BBMRI.it Network",,"Collection all samples","Biological material storage,Cell culture,Data Storage,Nucleic acid extraction",,"true","true","Italy","false"
"bbmri-eric:ID:IT_1383047508168267","21.12110/1.E4B0-0298-2D6B","Banca Neuromuscolare di Tessuti e DNA","NMTB","Collection of muscular biopsies and DNA samples of rare neuromuscular diseases",,"Padova","Italy",,,"elena.pegoraro@unipd.it","sara.vianello@unipd.it","Campus Biomedico P. d'Abano","BBMRI.it Network,Telethon Network of Genetic Biobanks",,"Amyotrophic lateral sclerosis,Myotonic dystrophy,Alterations of mitochondrial DNA,Carrier of Becker muscular distrophy,Polymyositis,Glycogenosis,Inclusion body myositis,Carriers of Duchenne muscular distrophy,Spinocerebellar diseases,Muscular dystrophies,Congenital miopathies,Spinal muscular atrophies,Dermatomyositis","Biological material storage,Nucleic acid extraction,Immunohistochemistry staining",,"false","true","Italy","false"
"bbmri-eric:ID:IT_1383130755736614","21.12110/1.2CDA-3EBE-1001","da Vinci European BioBank","daVEB","The da Vinci European BioBank (daVEB) is a ISO9001 certified multicenter biobank located at the Polo Scientifico (Scientific Campus of the University of Florence) in Sesto Fiorentino (Florence, Italy).
Liquid samples and the associated data from healthy volunteers and donors involved in studies on metabolic diseases and different type of cancer. Samples  from healthy subjects, patients affected by cardiomyopathy, melanoma and ductal carcinoma are stored in the biobank. Further, daVEB collaborated with CERM with the aim to improve its standard operating procedures (SOPs) and preanalytical treatments.","https://www.daveb.unifi.it/","Sesto Fiorentino","Italy","43.821561","11.193907","paola.nincheri@unifi.it","daveb@csavri.unifi.it","Alessandra Petrucci - Rector of University of Florence","BBMRI.it Network",,"Breast Cancer,Cardiomyopathy,Hypertension,Krabbe disease,Rare Skin Disease,Cancer of the geriatric age,Melanoma,Haematological cancer,COMETA - COVID 19","Biological material storage,Cell culture,Data analytics,Data Storage,Nucleic acid extraction","null","false","true","Italy","false"
"bbmri-eric:ID:IT_1383230735994332","21.12110/1.4E55-5078-F11C","Biobank of skeletal muscle peripheral nerve DNA and cell cultures","BiobankNMD-Milan","The ”Biobank of skeletal muscle, peripheral nerve, DNA and cell cultures” is part of the Rare Neuromuscular Disease Unit. It collects and stores biological samples for both research and diagnostic purposes.. . Since 1999 it has been partly funded by the Telethon Foundation as part of the Telethon Network of Genetic Biobanks.. . In 2002 it became a partner of the project EuroBioBank, funded by the European Community, coordinated by Eurordis first (European Organization for Rare Diseases ) and currently by Telethon. It joined BBMRI in 2013.. . The Bank’s quality system is certified by BVQI.. . The Biobank contains a considerable number of biological samples from patients with different rare neuromuscular diseases.It currently stores over 6400 skeletal muscle specimens, approximately 5140 resin-embedded samples for electron microscopy observation, over 200 samples of peripheral nerve for morphological studies and 8117 of DNA samples and cell cultures.","http://www.centrodinoferrari.com/en/laboratori/u-o-d-diagnostica-malattie-neuromuscolari-e-rare/biobanca/","Milano","Italy",,,"info.neuromuscularbiobank@gmail.com","info.neuromuscularbiobank@gmail.com","Fondazione IRCCS Ca’ Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico","BBMRI.it Network",,"Skeletal muscle-peripheral nerve-DNA-cell cultures-resin-embedded samples for electron microscopy",,,"false","true","Italy","false"
"bbmri-eric:ID:IT_1383569594559774","21.12110/1.3F7C-E85E-7586","Cell lines and DNA bank of  Genetic Movement Disorders and Mitochondrial Diseases","GMD-MDbank","The biobank deals with genetic movement disorders and mitochondrial diseases and is part of TNGB","http://biobanknetwork.telethon.it","Milano","Italy",,,"barbara.garavaglia@istituto-besta.it","barbara.garavaglia@istituto-besta.it","Fondazione IRCCS Istituto Neurologico Carlo Besta","BBMRI.it Network",,"Cell line and DNA Bank of Genetic Movement Disorders and Mitochondrial Diseases","Biological material storage,Cell culture,Nucleic acid extraction",,"false","false","Italy","false"
