"Id","Name","Acronym","Description","URL","Location","Country","Latitude","Longitude","Head of collection","Contact","National node","Withdrawn","Parent collection","Sub collections","Biobank","Biobank label","Network","Combined_network","Also known in","Type","Data categories","Order of magnitude","Size","Categories","Timestamp","Number of donors","Order of magnitude donors","Sex","Diagnosis available","Age low","Age high","Age unit","Facts","Materials","Storage temperatures","Body part examined","Imaging modality","Image dataset type","Collaboration commercial","Collaboration non for profit","Data use","Available for commercial use","Fee-based access to","Access via join projects to","Access description","Access uri","PD/SOP","Quality","Combined quality"
"bbmri-eric:ID:IT_1382433386427702:collection:12bbee351072494","Breast Cancer","BC","BTT stores breast cancer samples from patients who underwent surgery at the University Hospital of Padua",,,"Italy","45.4062348","11.8963358",,"clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Sample collection","Biological samples,Medical records","10.000 - 100.000","13000","Rare Disease,Oncology","2023-10-04T12:45:00Z","1699","1000 - 10.000","Male,Female","Malignant neoplasm of breast","18","85","Year",,"Plasma,Serum,Buffy Coat,Tissue (frozen)","-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:1444717277751678","Hereditary Colorectal Cancers","HCRC","Colorectal cancer is the third cancer and the second most common cause of cancer death worldwide, with an estimated 800,000 deaths in 2018. Within the CRC totals, 80% is represented by sporadic forms, about 10% by hereditary ones, while about 20-30% is represented by family forms. In hereditary forms, the alteration of a single gene, transmitted through the germline, causes a marked familial predisposition to the development of colorectal cancer. Among these, familial polyposis syndromes (FAP) are a very heterogeneous group of rare diseases that, overall, account for about 1% of all CRCs. Hereditary non-polyposis colorectal cancer (HNPCC) or Lynch syndrome is an autosomal dominant inherited syndrome with a high to medium degree of penetrance (30-70%).Both FAP and HNPCC are stored in the GENERAL SURGERY 3 TISSUE BIOBANK as a separate collection.",,,"Italy","37.0755392","15.1798698",,"m.agostini@unipd.it","Italy","false",,,"IGEA Biobank","IGEA Biobank","BBMRI.it Network","BBMRI.it Network",,"Other,Cohort","Other,Biological samples","10.000 - 100.000","6480","Oncology","2023-10-12T10:40:00Z",,,"Male,Female","Benign neoplasm of colon, rectum, anus and anal canal - Benign neoplasm: Colon, unspecified","18","60","Year",,"Other,DNA,Plasma,Serum,Buffy Coat","-60°C to -80°C",,,,"false","false",,"false",,"Samples,Data",,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:7c8e34ff58994cb","Colorectal cancer","CRC","Gastrointestinal tumors are our main interest. General Surgery 3 Biobank stores samples from colorectal cancer patients who underwent surgery at the University Hospital of Padua.",,,"Italy","45.4062348","11.8963358","puc@unipd.it","clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Sample collection","Biological samples,Medical records","10.000 - 100.000","22100","Oncology","2023-10-04T12:17:00Z","4100","1000 - 10.000","Male,Female","Malignant neoplasm of colon,Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectum","18","90","Year",,"Plasma,Serum,Buffy Coat,Tissue (frozen)","-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:9ea27e6b505c444","Endocrinology","ECH","General Surgery 3 Biobank stores samples from patients who underwent surgery at the University Hospital of Padua and were diagnosed with thyroid cancer, goitre, parathyroid lesions, and adrenal gland lesions or cancer.",,,"Italy","45.4062348","11.8963358",,"clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Sample collection","Biological samples,Medical records","10.000 - 100.000","24999","Oncology","2023-10-04T12:33:00Z","3700","1000 - 10.000","Male,Female","Malignant neoplasm of thyroid gland,Malignant neoplasm of adrenal gland,Malignant neoplasm of other endocrine glands and related structures","18","80","Year",,"Plasma,Serum,Buffy Coat,Tissue (frozen)","-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:ab30d9bdcdfd4f9","Gastric Cancer","GC","BTT stores gastric cancer samples from patients who underwent surgery in General Surgery 3",,,"Italy","45.4062348","11.8963358","puc@unipd.it","clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Sample collection","Biological samples,Medical records","1000 - 10.000","5500","Oncology","2023-10-04T12:25:00Z","850","1000 - 10.000","Male,Female","Malignant neoplasm of stomach","18","90","Year",,"Plasma,Serum,Buffy Coat,Tissue (frozen)","Liquid Nitrogen,-60°C to -80°C",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:bac1d3a1b4af435","Soft Tissue Sarcoma","STS","General Surgery 3 Biobank stores samples from patients who underwent surgery with diagnosis of sarcoma at the Veneto Institute of Oncology",,,"Italy","45.4062348","11.8963358",,"clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Longitudinal,Sample collection","Biological samples,Medical records","1000 - 10.000","7500",,"2023-10-04T13:51:00Z","1000","1000 - 10.000","Male,Female",,"18","85","Year",,"Plasma,Tissue (frozen),Buffy Coat,Serum","-60°C to -80°C,Liquid Nitrogen",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382433386427702:collection:d36cccbc52ec41e","Skin Cancer","SC","Melanoma is the most aggressive type of skin cancer. Merkel cell carcinoma is a rare and aggressive cutaneous malignant tumor with neuroendocrine differentiation, with a rapidly growing incidence rate, high risk of recurrence, and aggressive behavior. General Surgery 3 Biobank stores samples from patients who underwent surgery at the Veneto Institute of Oncology.",,,"Italy","45.4062348","11.8963358",,"clara.benna@unipd.it","Italy","false",,,"Chirurgia Generale 3 Tumour Tissue Biobank","Chirurgia Generale 3 Tumour Tissue Biobank","BBMRI.it Network,BioBanca Istituzionale","BioBanca Istituzionale,BBMRI.it Network",,"Disease specific,Hospital,Sample collection","Biological samples,Medical records","10.000 - 100.000","10150","Oncology","2023-10-04T13:25:00Z","1699","1000 - 10.000","Male,Female","Malignant melanoma of skin","18","90","Year",,"Buffy Coat,Serum,Plasma","-60°C to -80°C",,,,"false","false",,"false",,,,,,,
"bbmri-eric:ID:IT_1382539370263740:collection:144471729877953","Moli-sani project","Moli-sani","Moli-sani involved over 24,000 adult citizens residing in Molise. The Moli-sani biobank (Moli-bank) contains about one million samples and stores, in liquid nitrogen, serum, plasma, buffy-coat/DNA, urine samples (at -80 ° C) and collects anamnestic, chemical-clinical, socio-economic and lifestyle information of the adult subjects recruited. Gene/environment interactions are studied to evaluate risk/protection factors (environmental, genetic or dietary) for the development of cardiovascular, neurodegenerative and tumor diseases. Anamnestic data and follow-up samples from more than 2000 subjects are also available. Follow-up is ongoing.",,,"Italy","41.511422","14.062517",,"mbdonati@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort,Longitudinal,Population-based","Medical records,Physiological/Biochemical measurements,Survey data,Biological samples","10.000 - 100.000","25000","Population Reference","2021-04-08T13:14:42Z",,,"Male,Female",,,,"Year",,"DNA,Plasma,Serum,Urine","-60°C to -80°C,Liquid Nitrogen",,,,"false","true",,"false",,"Samples,Data","Submission of a collaborative proposal through a specific form to the scientific commitee of the Moli-sani project.",,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382539370263740:collection:1590424403812648","Neuromed COVID-19","NBC-19","The biobank stores biological samples of patients with COVID-19 and of subjects with immunoserological positivity to Sars-Cov2",,,"Italy",,,,"mbdonati@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network,COVID_19","BBMRI.it Network,COVID_19",,"Cohort,Population-based,Hospital,Prospective study,Cross-sectional,Disease specific,Sample collection","Antibodies titer (IgM and IgG),Biological samples,Medical records,Blood count and other lab results especially at the moment of hospital admission,Data on clinical symptoms,CT imaging of lungs, alternatively Xray,Survey data,Treatment protocol (types of drugs used)","100 - 1000","100","Population Reference,Covid-19,Infectious Diseases","2021-04-08T13:14:42Z",,,"Not available","Emergency use of U07 - COVID-19, virus identified",,,"Year",,"Serum","-60°C to -80°C,-18°C to -35°C",,,,"false","true",,"false",,"Samples,Data,Images",,,,,
"bbmri-eric:ID:IT_1382539370263740:collection:1591008297011400","Telethon project","Moli-family","Moli-family is a Telethon-funded study aimed at evaluating the genetic component of juvenile heart attack. Serum, citrate plasma, EDTA plasma and buffy coat of 900 subjects belonging to 54 families (3 generations) selected from a proband with a heart attack under the age of 50 and a first degree relative with ischemic vascular disease before the age of 60 or a proband of a family in which cardiovascular disease has never occurred",,,"Italy","41.511422","14.062517",,"mbdonati@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Disease specific,Cross-sectional","Biological samples,Survey data,Physiological/Biochemical measurements,Other","1000 - 10.000","752","Cardiovascular Diseases","2021-04-08T13:14:42Z",,,"Undifferentiated","Angina pectoris","18",,"Year",,"Plasma,Serum,Urine,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data","Submission of a collaborative proposal through a specific form to the scientific commitee of project",,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
